Side,Time
B,2018-01-07 22:02:34
S,2018-01-07 22:03:25
B,2018-01-07 22:03:29
B,2018-01-07 22:03:44
B,2018-01-07 22:03:46
S,2018-01-07 22:04:07
B,2018-01-07 22:04:12
S,2018-01-07 22:04:13
B,2018-01-07 22:04:14
S,2018-01-07 22:04:15
B,2018-01-07 22:04:16
B,2018-01-07 22:04:17
B,2018-01-07 22:04:18
S,2018-01-07 22:04:19
S,2018-01-07 22:04:20
S,2018-01-07 22:04:21
S,2018-01-07 22:04:22
B,2018-01-07 22:04:23
S,2018-01-07 22:04:24
S,2018-01-07 22:04:25
B,2018-01-07 22:04:26
B,2018-01-07 22:04:27
S,2018-01-07 22:06:01
S,2018-01-07 22:06:25
S,2018-01-07 22:06:53
S,2018-01-07 22:07:06
S,2018-01-07 22:07:36
S,2018-01-07 22:08:13
S,2018-01-07 22:08:24
S,2018-01-07 22:08:45
B,2018-01-07 22:09:00
B,2018-01-07 22:09:03
S,2018-01-07 22:09:11
S,2018-01-07 22:10:07
S,2018-01-07 22:10:32
B,2018-01-07 22:10:56
S,2018-01-07 22:11:19
B,2018-01-07 22:11:51
B,2018-01-07 22:12:37
B,2018-01-07 22:13:27
B,2018-01-07 22:13:40
B,2018-01-07 22:14:14
S,2018-01-07 22:14:41
S,2018-01-07 22:15:04
S,2018-01-07 22:15:14
S,2018-01-07 22:15:26
S,2018-01-07 22:16:16
B,2018-01-07 22:16:27
S,2018-01-07 22:16:48
S,2018-01-07 22:16:54
B,2018-01-07 22:16:55
S,2018-01-07 22:17:32
B,2018-01-07 22:18:35
S,2018-01-07 22:18:55
B,2018-01-07 22:20:51
S,2018-01-07 22:21:00
S,2018-01-07 22:21:03
B,2018-01-07 22:21:31
B,2018-01-07 22:22:28
B,2018-01-07 22:22:42
B,2018-01-07 22:23:21
B,2018-01-07 22:23:49
B,2018-01-07 22:24:50
B,2018-01-07 22:24:51
B,2018-01-07 22:24:58
S,2018-01-07 22:25:21
S,2018-01-07 22:25:27
B,2018-01-07 22:25:55
S,2018-01-07 22:26:26
S,2018-01-07 22:26:31
S,2018-01-07 22:26:55
S,2018-01-07 22:27:34
B,2018-01-07 22:28:11
S,2018-01-07 22:29:10
B,2018-01-07 22:29:35
S,2018-01-07 22:30:11
S,2018-01-07 22:30:56
S,2018-01-07 22:31:08
B,2018-01-07 22:31:44
S,2018-01-07 22:32:17
B,2018-01-07 22:32:23
S,2018-01-07 22:33:22
B,2018-01-07 22:33:35
S,2018-01-07 22:33:49
B,2018-01-07 22:35:30
B,2018-01-07 22:35:55
S,2018-01-07 22:35:58
B,2018-01-07 22:36:21
S,2018-01-07 22:36:54
S,2018-01-07 22:37:13
S,2018-01-07 22:38:10
S,2018-01-07 22:38:17
S,2018-01-07 22:38:43
S,2018-01-07 22:38:46
S,2018-01-07 22:39:06
S,2018-01-07 22:39:10
S,2018-01-07 22:39:14
S,2018-01-07 22:39:33
S,2018-01-07 22:39:48
B,2018-01-07 22:39:59
B,2018-01-07 22:40:11
S,2018-01-07 22:40:23
S,2018-01-07 22:40:31
S,2018-01-07 22:40:49
S,2018-01-07 22:41:08
S,2018-01-07 22:41:32
S,2018-01-07 22:41:53
S,2018-01-07 22:42:19
S,2018-01-07 22:42:28
B,2018-01-07 22:42:53
S,2018-01-07 22:43:37
B,2018-01-07 22:44:18
S,2018-01-07 22:44:47
S,2018-01-07 22:46:34
B,2018-01-07 22:46:54
S,2018-01-07 22:47:19
B,2018-01-07 22:47:43
S,2018-01-07 22:49:30
S,2018-01-07 22:49:35
B,2018-01-07 22:49:47
S,2018-01-07 22:51:09
B,2018-01-07 22:52:01
S,2018-01-07 22:53:19
B,2018-01-07 22:54:08
B,2018-01-07 22:54:41
S,2018-01-07 22:55:01
S,2018-01-07 22:56:44
B,2018-01-07 22:57:15
S,2018-01-07 22:57:20
S,2018-01-07 22:57:26
S,2018-01-07 22:57:52
B,2018-01-07 22:57:53
B,2018-01-07 22:58:01
B,2018-01-07 22:58:33
B,2018-01-07 22:59:11
B,2018-01-07 22:59:15
B,2018-01-07 22:59:25
B,2018-01-07 22:59:43
B,2018-01-07 23:00:14
B,2018-01-07 23:00:35
S,2018-01-07 23:00:44
B,2018-01-07 23:01:00
S,2018-01-07 23:01:17
S,2018-01-07 23:01:29
S,2018-01-07 23:02:22
B,2018-01-07 23:03:17
B,2018-01-07 23:04:15
B,2018-01-07 23:04:33
B,2018-01-07 23:04:59
S,2018-01-07 23:05:15
B,2018-01-07 23:06:14
B,2018-01-07 23:06:46
B,2018-01-07 23:07:37
B,2018-01-07 23:07:54
B,2018-01-07 23:08:53
S,2018-01-07 23:09:12
B,2018-01-07 23:09:52
S,2018-01-07 23:10:07
B,2018-01-07 23:10:09
S,2018-01-07 23:10:11
B,2018-01-07 23:10:12
B,2018-01-07 23:10:26
S,2018-01-07 23:10:27
S,2018-01-07 23:10:29
S,2018-01-07 23:10:53
B,2018-01-07 23:11:12
S,2018-01-07 23:11:25
B,2018-01-07 23:11:47
B,2018-01-07 23:11:49
S,2018-01-07 23:12:06
S,2018-01-07 23:12:14
B,2018-01-07 23:12:52
B,2018-01-07 23:13:39
S,2018-01-07 23:13:42
S,2018-01-07 23:14:00
S,2018-01-07 23:14:19
B,2018-01-07 23:15:46
B,2018-01-07 23:15:48
B,2018-01-07 23:17:27
B,2018-01-07 23:18:41
B,2018-01-07 23:19:48
B,2018-01-07 23:19:49
S,2018-01-07 23:20:21
B,2018-01-07 23:20:29
B,2018-01-07 23:20:35
B,2018-01-07 23:20:48
S,2018-01-07 23:21:36
B,2018-01-07 23:21:48
B,2018-01-07 23:22:30
S,2018-01-07 23:22:39
B,2018-01-07 23:22:52
B,2018-01-07 23:23:29
B,2018-01-07 23:23:35
B,2018-01-07 23:23:55
B,2018-01-07 23:24:29
S,2018-01-07 23:25:21
S,2018-01-07 23:25:43
S,2018-01-07 23:25:54
B,2018-01-07 23:26:42
B,2018-01-07 23:27:01
B,2018-01-07 23:27:31
S,2018-01-07 23:27:48
B,2018-01-07 23:28:03
B,2018-01-07 23:28:41
S,2018-01-07 23:28:42
B,2018-01-07 23:28:45
S,2018-01-07 23:29:47
S,2018-01-07 23:29:57
S,2018-01-07 23:30:21
B,2018-01-07 23:30:48
B,2018-01-07 23:33:26
B,2018-01-07 23:33:42
B,2018-01-07 23:34:24
B,2018-01-07 23:34:57
B,2018-01-07 23:38:02
B,2018-01-07 23:38:05
S,2018-01-07 23:38:23
B,2018-01-07 23:38:33
S,2018-01-07 23:38:51
B,2018-01-07 23:38:57
B,2018-01-07 23:40:29
B,2018-01-07 23:41:12
S,2018-01-07 23:42:52
S,2018-01-07 23:43:23
S,2018-01-07 23:43:29
S,2018-01-07 23:45:14
B,2018-01-07 23:46:02
S,2018-01-07 23:46:17
B,2018-01-07 23:46:51
B,2018-01-07 23:47:34
S,2018-01-07 23:47:54
S,2018-01-07 23:48:26
S,2018-01-07 23:48:54
S,2018-01-07 23:49:20
S,2018-01-07 23:49:47
S,2018-01-07 23:50:09
S,2018-01-07 23:50:27
S,2018-01-07 23:51:37
B,2018-01-07 23:53:08
S,2018-01-07 23:55:23
S,2018-01-07 23:56:13
B,2018-01-07 23:56:32
S,2018-01-07 23:56:40
B,2018-01-07 23:57:11
B,2018-01-07 23:58:18
S,2018-01-07 23:58:29
B,2018-01-07 23:58:37
B,2018-01-07 23:59:30
B,2018-01-08 00:00:49
B,2018-01-08 00:01:32
S,2018-01-08 00:01:46
